;word list generated with Sketch Engine https://www.sketchengine.co.uk/word-lists/;
;language:;Spanish;
;corpus:;Spanish Web 2011;
;word form;frequence;
389;tuvo;2 010 189;0,003021534
390;mayor�a;2 001 973;0,003009184
391;�rea;1 998 062;0,003003306
392;saber;1 995 208;0,002999016
393;luis;1 994 766;0,002998351
394;organizaci�n;1 987 141;0,00298689
395;cuerpo;1 974 513;0,002967909
396;ministerio;1 968 690;0,002959156
397;acci�n;1 958 514;0,002943861
398;diciembre;1 954 362;0,00293762
399;largo;1 954 251;0,002937453
400;nadie;1 953 302;0,002936027
401;formaci�n;1 953 246;0,002935942
402;encuentro;1 949 375;0,002930124
403;ir;1 945 052;0,002923626
404;consejo;1 937 962;0,002912969
405;actual;1 934 030;0,002907059
406;construcci�n;1 928 003;0,002897999
407;vamos;1 925 803;0,002894693
408;necesario;1 924 834;0,002893236
409;capacidad;1 917 422;0,002882095
410;acciones;1 915 332;0,002878954
411;noche;1 902 981;0,002860389
412;hacen;1 893 163;0,002845631
413;ex;1 885 957;0,0028348
414;cabo;1 883 296;0,0028308
415;estudiantes;1 882 237;0,002829208
416;idea;1 881 873;0,002828661
417;minutos;1 873 931;0,002816723
418;debido;1 871 269;0,002812722
419;mayo;1 869 483;0,002810037
420;orden;1 863 685;0,002801322
421;campo;1 862 494;0,002799532
422;octubre;1 862 294;0,002799232
423;haya;1 858 251;0,002793155
424;presencia;1 857 216;0,002791599
425;tarde;1 854 446;0,002787435
426;modo;1 853 450;0,002785938
427;permite;1 849 000;0,002779249
428;podemos;1 842 274;0,002769139
429;red;1 838 642;0,00276368
430;temas;1 835 260;0,002758597
431;edad;1 833 288;0,002755632
432;ten�a;1 829 913;0,002750559
433;�ltimos;1 823 119;0,002740347
434;federal;1 822 697;0,002739713
435;anterior;1 822 256;0,00273905
436;respuesta;1 819 591;0,002735044
437;internet;1 817 179;0,002731419
438;ah�;1 816 378;0,002730215
439;puesto;1 810 717;0,002721706
440;cantidad;1 806 765;0,002715765
441;usted;1 801 159;0,002707339
442;real;1 794 402;0,002697182
443;serie;1 792 525;0,002694361
444;existe;1 791 567;0,002692921
445;pr�ximo;1 791 124;0,002692255
446;dinero;1 782 753;0,002679673
447;dio;1 778 225;0,002672867
448;principal;1 771 544;0,002662824
449;ser�a;1 766 747;0,002655614
450;materia;1 764 023;0,00265152
451;libro;1 761 606;0,002647887
452;acceso;1 758 448;0,00264314
453;marco;1 755 560;0,002638799
454;mar�a;1 753 864;0,002636249
455;alto;1 752 261;0,00263384
456;noviembre;1 750 274;0,002630853
457;calle;1 748 245;0,002627803
458;siguiente;1 747 314;0,002626404
459;central;1 746 248;0,002624802
460;alumnos;1 741 456;0,002617599
461;web;1 737 217;0,002611227
462;alg�n;1 732 059;0,002603474
463;posibilidad;1 730 540;0,002601191
464;modelo;1 727 361;0,002596413
465;grupos;1 727 181;0,002596142
466;medida;1 723 942;0,002591273
467;soy;1 720 139;0,002585557
468;quiere;1 720 096;0,002585492
469;cierto;1 718 506;0,002583102
470;futuro;1 718 034;0,002582393
471;an�lisis;1 715 636;0,002578789
